"id","kind","layer","methodology_stream","analysis_object","lens_fit","learning_intent","use_when","avoid_when","evidence_or_output","input_requirements","dimensions","complements","conflicts","key_limitation"
"desk-document-research","method","collection_method","cross","cross","Company|Category|Channel","explore|describe","Establishing existing context from credible public documents reports and standards","Understanding unobserved behavior or current local context","document findings","public-documents|reports|standards","","internal-document-data-review","","Source recency and transferability may be weak"
"internal-document-data-review","method","collection_method","cross","internal.capabilities","Company","describe|explain","Reviewing existing capabilities plans and constraints from internal material","Independently validating company claims","internal evidence","internal-documents|internal-data","","desk-document-research","","Internal material can be selective or stale"
"company-product-competitor-audit","method","collection_method","traditional_consulting","external.industry","Company|Category","compare|describe","Auditing company product and competitor offers and capabilities","Inferring latent user motivation","offer and capability inventory","product-catalogues|competitor-offers|pricing","","competitive-benchmarking-positioning","","Visible claims may differ from delivered value"
"literature-patent-standards-regulatory-search","method","collection_method","traditional_consulting","external.environment","Category|Channel|Technology|Regulation","explore|describe","Searching literature patent standards and regulatory records","Proving market demand or behavior","documentary evidence","literature|patents|standards|regulatory-records","","desk-document-research","","Coverage is uneven across domains and jurisdictions"
"behavioral-transaction-data-review","method","collection_method","design_research","external.market","Consumer|Company|Channel","describe|explain","Analyzing available behavioral and transaction data","Establishing causation without qualitative context","behavioral data","behavioral-data|transaction-data","","segmentation-decision-unit","","Data may omit context and non-users"
"social-review-discourse-analysis","method","collection_method","design_research","external.market","Consumer|Category|Channel","explore|describe","Analyzing social review and discourse content","Treating posts as representative behavior","discourse evidence","social-posts|reviews|discourse","","pattern-anomaly-detection","","Samples are self-selected and noisy"
"market-sizing-triangulation","framework","analysis_framework","traditional_consulting","external.market","Category|Channel","size","Market sizing and triangulation from multiple angles","Proving a specific company will capture share","sized market estimate","category-reports|proxy-data|market-data","top-down|bottom-up|proxy|triangulated-range","segmentation-decision-unit","","Depends on credible category and proxy data"
"segmentation-decision-unit","framework","analysis_framework","design_research","external.market","Consumer|Category","describe|explain","Segmentation and decision-unit analysis","Choosing a final strategy without evidence","segment and decision-unit model","customer-data|segment-attributes","segments|decision-unit|decision-role|purchase-criteria","jtbd-journey","","Segments are interpretive not facts"
"competitive-benchmarking-positioning","framework","analysis_framework","traditional_consulting","external.industry","Category|Company","compare","Competitive benchmarking and positioning of visible offers","Understanding latent user motivation","positioning map","competitor-offers|positioning-data","price|features|positioning-axis|market-share","company-product-competitor-audit","","Visible claims may differ from delivered value"
"five-forces","framework","analysis_framework","traditional_consulting","external.industry","Category","explain","Five Forces assessment of industry structure and competitive pressure","Proving consumer needs or behavior","industry structure model","industry-data|competitor-data|buyer-supplier-data","supplier-power|buyer-power|new-entrants|substitutes|rivalry","value-chain-profit-pool","value-chain-profit-pool","Depends on credible category evidence"
"value-chain-profit-pool","framework","analysis_framework","traditional_consulting","internal.capabilities","Company|Category|Channel","explain","Mapping value chain and profit pool where value is created and captured","Choosing a final strategy without evidence","value chain and profit pool map","company-data|activity-costs|profit-pool-data","primary-activities|support-activities|margin|profit-pool-size","five-forces","five-forces","Reflects current assumptions about activities"
